"","A_crec","Fib","Apo","Para","S_cristal","Rad","Crist"
"1","FVP","L","Difuso","ME","NO","UBT","N"
"2","FVP","L","Difuso","ME","NO","UBT","N"
"3","FVP","L","Difuso","ME","NO","UBT","N"
"4","FVP","L","Difuso","ME","NO","UBT","N"
"5","FVP","L","Difuso","ME","NO","UBT","N"
"6","FVP","L","Difuso","ME","NO","UBT","N"
"7","FVP","L","Difuso","ME","NO","UBT","N"
"8","FVP","L","Difuso","ME","NO","UBT","N"
"9","FVP","L","Difuso","ME","NO","UBT","N"
"10","FVP","L","Difuso","ME","NO","UBT","N"
"11","FVP","L","Difuso","ME","NO","UBT","N"
"12","FVP","L","Difuso","ME","NO","UBT","N"
"13","FVP","L","Difuso","ME","NO","UBT","N"
"14","FVP","L","Difuso","ME","NO","UBT","N"
"15","FVP","L","Difuso","ME","NO","UBT","N"
"16","FVP","L","Difuso","ME","NO","UBT","N"
"17","FVP","L","Difuso","ME","NO","UBT","N"
"18","FVP","L","Difuso","ME","NO","UBT","N"
"19","FVP","L","Difuso","ME","NO","UBT","N"
"20","FVP","L","Difuso","ME","NO","UBT","N"
"21","FVP","L","Difuso","ME","NO","UBT","N"
"22","FVP","L","Difuso","ME","NO","UBT","N"
"23","FVP","L","Difuso","ME","NO","UBT","N"
"24","FVP","L","Difuso","ME","NO","UBT","N"
"25","FVP","L","Difuso","ME","NO","UBT","N"
"26","FVP","L","Difuso","ME","NO","UBT","N"
"27","FVP","L","Difuso","ME","NO","UBT","N"
"28","FVP","L","Difuso","ME","NO","UBT","N"
"29","FVP","L","Difuso","ME","NO","UBT","N"
"30","FVP","L","Difuso","ME","NO","UBT","N"
"31","FVP","L","Difuso","ME","NO","UBT","N"
"32","FVP","L","Difuso","ME","NO","UBT","N"
"33","FVP","L","Difuso","ME","NO","UBT","N"
"34","FVP","L","Difuso","ME","NO","UBT","N"
"35","FVP","L","Difuso","ME","NO","UBT","N"
"36","FVP","L","Difuso","ME","NO","UBT","N"
"37","FVP","L","Difuso","ME","NO","UBT","N"
"38","FVP","L","Difuso","ME","NO","UBT","N"
"39","FVP","L","Difuso","ME","NO","UBT","N"
"40","FVP","L","Difuso","ME","NO","UBT","N"
"41","FVP","L","Difuso","ME","NO","UBT","N"
"42","FVP","L","Difuso","ME","NO","UBT","N"
"43","FVP","L","Difuso","ME","NO","UBT","N"
"44","FVP","L","Difuso","ME","NO","UBT","N"
"45","FVP","L","Difuso","ME","NO","UBT","N"
"46","FVP","L","Difuso","ME","NO","UBT","N"
"47","FVP","L","Difuso","ME","NO","UBT","N"
"48","FVP","L","Difuso","ME","NO","UBT","N"
"49","FVP","L","Difuso","ME","NO","UBT","N"
"50","FVP","L","Difuso","ME","NO","UBT","N"
"51","FVP","L","Difuso","ME","NO","UBT","N"
"52","FVP","L","Difuso","ME","NO","UBT","N"
"53","FVP","L","Difuso","ME","NO","UBT","N"
"54","FVP","L","Difuso","ME","NO","UBT","N"
"55","FVP","L","Difuso","ME","NO","UBT","N"
"56","FVP","L","Difuso","ME","NO","UBT","N"
"57","FVP","L","Difuso","ME","NO","UBT","N"
"58","FVP","L","Difuso","ME","NO","UBT","N"
"59","FVP","L","Difuso","ME","NO","UBT","N"
"60","FVP","L","Difuso","ME","NO","UBT","N"
"61","FVP","L","Difuso","ME","NO","UBT","N"
"62","FVP","L","Difuso","ME","NO","UBT","N"
"63","FVP","L","Difuso","ME","NO","UBT","N"
"64","FVP","L","Difuso","ME","NO","UBT","N"
"65","FVP","L","Difuso","ME","NO","UBT","N"
"66","FVP","L","Difuso","ME","NO","UBT","N"
"67","FVP","L","Difuso","ME","NO","UBT","N"
"68","FVP","L","Difuso","ME","NO","UBT","N"
"69","FVP","L","Difuso","ME","NO","UBT","N"
"70","FVP","L","Difuso","ME","NO","UBT","N"
"71","FVP","L","Difuso","ME","NO","UBT","N"
"72","FVP","L","Difuso","ME","NO","UBT","N"
"73","FVP","L","Difuso","ME","NO","UBT","N"
"74","FVP","L","Difuso","ME","NO","UBT","N"
"75","FVP","L","Difuso","ME","NO","UBT","N"
"76","FVP","L","Difuso","MA","NO","UBT","N"
"77","FVP","L","Difuso","MA","NO","UBT","N"
"78","FVP","L","Difuso","MA","NO","UBT","N"
"79","FVP","L","Difuso","MA","NO","UBT","N"
"80","FVP","L","Difuso","MA","NO","UBT","N"
"81","FVP","L","Difuso","MA","NO","UBT","N"
"82","FVP","L","Difuso","MA","NO","UBT","N"
"83","FVP","L","Difuso","MA","NO","UBT","N"
"84","FVP","L","Difuso","MA","NO","UBT","N"
"85","FVP","L","Difuso","MA","NO","UBT","N"
"86","FVP","L","Difuso","MA","NO","UBT","N"
"87","FVP","L","Difuso","MA","NO","UBT","N"
"88","FVP","L","Difuso","MA","NO","UBT","N"
"89","FVP","L","Difuso","MA","NO","UBT","N"
"90","FVP","L","Difuso","MA","NO","UBT","N"
"91","FVP","L","Difuso","MA","NO","UBT","N"
"92","FVP","L","Difuso","MA","NO","UBT","N"
"93","FVP","L","Difuso","MA","NO","UBT","N"
"94","FVP","L","Difuso","MA","NO","UBT","N"
"95","FVP","L","Difuso","MA","NO","UBT","N"
"96","FVP","L","Difuso","MA","NO","UBT","N"
"97","FVP","L","Difuso","MA","NO","UBT","N"
"98","FVP","L","Difuso","MA","NO","UBT","N"
"99","FVP","L","Difuso","MA","NO","UBT","N"
"100","FVP","L","Difuso","MA","NO","UBT","N"
"101","FVP","L","Difuso","MA","NO","UBT","N"
"102","FVP","L","Difuso","MA","NO","UBT","N"
