Especie,L_vmt,P_vmt,L_vmtr,P_vmtr,L_fib,P_fib,A_r_m,An_r_m,A_r_u,An_r_u,Lu_ punt,LV,LF,A_crec,Fib,Apo,Para,S_cristal,Rad,Crist
F.angustifolia,29.512612,5.1277837,15.436673,3.8458378,11.896186,1.4426245,387.90554,41.774887,188.43973,26.109305,1.5345218,301.71517,745.03486,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.02227,5.2855985,15.436673,5.1277837,8.4118741,2.0401791,428.98787,39.510547,191.24063,26.109305,1.5345218,254.1003,638.48369,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,42.304216,6.4097297,16.665297,2.8665182,8.6797574,0.91239585,373.39957,34.341428,120.21627,23.642981,2.3159477,329.22059,776.47861,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,26.95137,5.1277837,19.271873,1.8129453,10.200896,2.7371875,237.59467,29.19109,300.98265,26.109305,2.0619518,271.8504,599.88429,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,32.048648,8.107738,21.793081,2.8665182,13.424937,1.8247917,229.77671,28.720235,126.65031,18.462066,1.7902755,303.91853,631.50264,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,42.323635,5.1277837,15.436673,2.8665182,7.2991668,2.0401791,273.33836,42.502869,337.30554,28.83867,2.0619518,337.27849,514.7945,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,37.198528,6.9034901,19.229189,2.8665182,8.2115626,2.0401791,304.4842,29.769187,128.04212,21.049994,1.8084513,219.30644,924.41875,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,43.586162,7.7977727,24.390685,2.5638919,6.9784863,1.2903226,185.43121,39.939556,141.08691,18.276513,1.7902755,462.73172,567.31541,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,28.202811,6.4097297,10.255567,2.8665182,10.94875,2.3261621,231.24061,48.776206,165.00585,21.049994,2.0460291,409.0504,634.31087,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,25.638919,4.053869,16.71453,2.5638919,10.200896,1.4426245,273.98602,42.502869,188.00512,28.720235,1.8084513,459.79812,637.63164,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,34.61254,7.4749651,21.830753,5.1277837,10.94875,0.91239585,369.0659,36.646155,204.25421,27.258914,1.8084513,492.94063,576.81884,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,36.462292,4.053869,23.110609,4.053869,11.861146,1.8247917,209.282,34.341428,122.82478,24.071589,2.0460291,408.01584,760.78176,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,44.259636,6.5366673,16.71453,2.5638919,13.807055,2.3261621,287.96089,41.856399,271.58697,23.642981,2.5188812,415.4006,620.04139,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,39.740324,2.8665182,20.551157,3.8458378,11.414068,1.8247917,304.4842,55.386199,209.46107,26.109305,1.0544993,411.74133,672.61343,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,37.176432,4.053869,17.992969,1.8129453,11.48677,1.8247917,263.29004,36.646155,185.37606,21.049994,1.7902755,370.3658,879.87042,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,38.479738,5.438836,23.110609,1.2819459,12.72457,1.4426245,225.08583,44.462544,185.37606,18.462066,1.2787682,307.03699,744.44525,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,34.61254,2.8665182,20.511135,3.8458378,11.48677,1.8247917,190.16825,42.502869,274.45835,28.83867,1.5345218,462.08306,561.57339,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,26.920865,2.8665182,21.793081,2.8665182,12.325789,2.7371875,258.85107,40.532541,203.66931,31.331166,1.7156476,427.62705,761.27633,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,25.670947,5.2855985,12.883397,2.5638919,10.94875,1.8247917,191.04448,42.099989,117.75267,23.498374,1.8619146,413.56677,596.2131,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,28.202811,3.8458378,19.610002,2.5638919,9.6774194,2.0401791,213.7936,42.502869,363.25728,23.498374,1.5556887,322.57409,709.14426,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,28.202811,2.8665182,11.537513,2.5638919,13.237603,2.0401791,230.48764,42.099989,260.37405,23.642981,1.5556887,315.48635,752.74117,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,29.512612,2.5638919,16.665297,2.5638919,12.000694,1.8247917,245.55242,34.042368,206.28003,20.887444,1.8619146,327.61683,634.27791,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,28.319111,1.8129453,20.511135,2.8665182,12.806086,1.8247917,223.45965,39.768508,172.8152,19.007861,1.5556887,465.6322,785.28837,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,24.356973,3.8458378,15.383351,5.2855985,11.896186,2.885249,550.30586,39.939556,198.58525,18.462066,1.5345218,347.55869,688.52857,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,37.198528,2.8665182,12.819459,3.8458378,11.414068,2.0401791,290.76436,47.069218,224.29701,19.007861,2.5575364,443.92729,714.81245,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,53.811198,6.5366673,21.219981,3.8458378,12.675408,3.2258065,115.48903,39.822944,155.74984,19.271873,3.2045839,417.83046,582.91299,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,59.854658,5.2855985,19.057496,6.4097297,6.4837907,2.3261621,165.37599,51.421854,83.680733,20.511135,2.9160401,433.77606,706.42632,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,62.513762,5.1277837,11.466073,4.6221218,12.325789,2.6600681,155.30604,42.304216,134.89093,16.861366,2.0619518,375.87425,686.85624,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,38.244124,4.053869,20.868568,5.438836,12.854748,2.6600681,148.71125,47.431999,75.905923,16.71453,2.1089985,433.77606,563.95137,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,34.206584,4.053869,29.59602,5.7330365,13.04758,2.7371875,131.16005,32.278574,75.732522,29.512612,2.8594126,375.87425,645.1624,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,39.324619,5.7330365,23.075027,3.8458378,10.4229,2.6600681,154.73358,28.463819,137.06634,28.319111,1.9477617,236.79939,641.81545,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,43.811803,6.5366673,21.830753,5.2855985,12.967581,2.5806452,127.55845,43.661505,100.81019,25.925752,1.8619146,265.47426,729.49269,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,45.468437,6.9034901,18.129453,5.1277837,13.685938,1.9354839,137.24008,33.941319,105.71197,19.057496,1.8084513,360.31786,700.09319,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,50.567852,8.5995547,18.354672,4.6221218,14.208204,2.6600681,116.28317,35.985937,195.68055,28.202811,2.0460291,350.24349,487.93575,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,36.910249,9.0647266,13.198441,2.5638919,16.749361,2.7371875,117.50627,34.8727,133.82067,18.129453,1.6376223,267.67817,931.87576,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.221218,6.4097297,12.819459,3.8458378,17.21505,1.9354839,177.87664,29.734514,67.955227,12.819459,2.5188812,321.6867,548.88189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.042295,7.7977727,17.809362,3.8458378,12.72457,2.3261621,128.41234,34.61254,146.34411,21.94338,3.3346195,344.54071,603.94875,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,41.042295,6.9034901,16.215476,1.8129453,13.471363,3.2258065,153.96699,32.048648,116.76269,16.71453,2.9825743,285.61801,753.51857,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,42.997774,8.107738,9.3327073,2.8665182,9.5256923,2.5806452,145.22247,38.798724,182.48715,19.271873,2.357932,198.01812,857.63062,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,38.565059,4.6221218,12.161607,2.8665182,13.956973,1.2903226,195.2644,29.734514,125.63724,27.042679,2.3159477,202.54746,602.80514,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.469435,5.7330365,15.856795,1.2819459,13.563739,3.28969,129.1143,42.304216,152.74535,24.390685,2.7663986,350.21523,644.25427,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,49.066889,5.438836,12.883397,3.8458378,11.630811,1.8247917,131.38539,34.636272,114.44554,18.129453,2.8594126,319.36707,651.13073,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,48.460269,6.9034901,18.354672,3.6258906,11.024521,1.4426245,108.17072,37.374825,129.48289,16.71453,2.5702923,301.43529,706.18948,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,43.849297,4.6221218,11.466073,5.2855985,10.098372,1.9354839,123.65962,32.683337,107.02521,17.992969,3.3247973,389.1688,721.8858,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,33.256554,5.1277837,19.057496,8.2084591,11.267258,1.2903226,115.69518,35.756871,146.14746,21.94338,2.5575364,240.67341,819.75953,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,44.84979,6.4097297,14.94993,1.8129453,13.609692,1.9354839,118.50202,32.278574,120.50292,21.830753,3.4786256,422.69666,650.35955,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,37.85541,5.438836,12.625703,3.8458378,11.630811,2.5806452,270.96104,34.517451,170.67222,20.511135,2.81329,415.17078,641.81545,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,44.776446,3.8458378,18.354672,2.5638919,7.3559705,1.9354839,113.68916,30.793398,170.07901,20.670757,3.6618348,316.56926,727.77083,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,50.502813,3.8458378,11.818958,2.5638919,11.099775,2.3261621,122.7526,30.766702,188.62474,19.229189,1.8084513,491.69443,558.17475,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,47.031869,3.8458378,12.883397,2.5638919,9.2373039,2.7371875,150.0753,32.048648,137.12028,26.146669,2.754551,450.80722,804.64734,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,61.120315,2.6109305,17.947243,3.8458378,10.402913,2.5806452,206.52774,21.049994,152.53287,18.276513,1.6376223,455.98427,1190.7591,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,56.241163,5.2218609,12.883397,3.8458378,10.986701,3.2258065,266.32771,23.642981,110.43341,15.88167,1.617528,536.41713,830.37839,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,57.262175,3.6924133,21.793081,2.8665182,9.86907,2.5806452,143.98045,21.049994,114.99956,10.765142,1.8084513,502.12829,717.7026,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,74.308384,7.3848265,24.491543,4.053869,12.967581,3.7619044,178.23306,18.276513,100.88468,11.676436,1.8619146,566.90983,846.63742,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,79.279475,5.2218609,30.820071,5.1277837,11.684368,3.7619044,278.24484,18.462066,101.82629,18.276513,1.8084513,349.7575,875.22401,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,63.52668,5.2218609,27.998122,3.8458378,11.432287,1.9354839,167.4256,21.049994,130.54652,11.07724,2.357932,318.54422,911.11313,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,46.265806,5.2218609,16.062736,5.1277837,10.640273,3.2258065,201.31273,26.109305,125.4334,15.665583,2.357932,314.10481,1042.947,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,52.479053,7.8327914,24.390685,3.8458378,9.3936902,3.6495834,232.37281,39.163957,107.84123,13.054652,1.4912872,272.96401,935.01189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,80.431915,5.838218,25.638919,2.8665182,7.2131225,2.5806452,164.50934,15.665583,104.43722,18.276513,1.8442657,335.35976,835.52461,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,76.12105,5.2218609,18.129453,1.2819459,10.200896,2.5806452,256.94793,21.049994,208.87444,18.276513,1.617528,355.55658,764.53792,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,65.325459,5.2218609,14.332591,1.2819459,10.581432,3.2258065,156.74283,18.276513,111.63064,10.765142,1.5556887,344.65271,702.03189,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,56.362242,5.2218609,17.103292,2.5638919,10.581432,4.0803583,203.66931,20.887444,127.96223,18.462066,2.2875301,387.48354,623.30399,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,49.67634,5.2218609,26.146669,2.5638919,9.6774194,3.4742999,127.93559,28.720235,177.54327,13.313185,2.412775,267.82089,844.65929,FVP,L,Difuso,ME,NO,UBT,N
F.angustifolia,45.071648,5.2218609,20.551157,2.5638919,13.563739,4.0803583,172.34119,33.942096,104.46985,19.007861,1.6376223,245.71894,856.0688,FVP,L,Difuso,ME,NO,UBT,N
